isbn,book_title,author,genre,publisher,price,rating,copies_sold
596754013-X,Election,Gwendolen McKinley,Fantasy,Gabcube,9.49,4.1,8624877
211074737-4,Birdwatchers (BirdWatchers - La terra degli uomini rossi),Jewelle Oldaker,Fantasy,Buzzdog,2.55,1.1,8046539
070347794-3,King Boxer: Five Fingers of Death (Tian xia di yi quan),Janna Ilchenko,Science Fiction,Muxo,32.96,0.4,12153631
815961559-0,Left Luggage,Isahella Costi,Fantasy,Babbleopia,41.58,2.2,17803692
956277235-7,Manufacturing Consent: Noam Chomsky and the Media,Brennen Sprasen,Science Fiction,Quaxo,36.48,3.6,15531526
290148503-0,Breath (Soom),Gladi Waumsley,Mystery,Reallinks,38.38,0.9,5709605
335923431-6,"Hell of a Day, A (Reines d'un jour)",Arie Casetta,Romance,Linktype,17.21,2,17720291
060030042-0,Those Magnificent Men in Their Flying Machines,Keefe Grunson,Romance,Skyba,9.43,3.5,3860099
230245685-8,Evangelion: 1.0 You Are (Not) Alone (Evangerion shin gekijôban: Jo),Carolin Dell'Abbate,Historical,Jayo,32.21,1.1,7597582
606139907-3,Nothing Sacred,Grenville Judge,Nonfiction,Skynoodle,22.15,3.6,5015095
998558524-0,"Architect, The",Donetta Dzeniskevich,Romance,Mynte,17.25,4.9,1486202
654641376-0,8 ½ Women (a.k.a. 8 1/2 Women) (a.k.a. Eight and a Half Women),Guilbert Bull,Nonfiction,Trilia,30.19,4.7,12727934
160997011-X,Drums Along the Mohawk,Hortense O' Dooley,Science Fiction,DabZ,47.85,0.9,18440719
478183007-2,"Atlantis, the Lost Continent",Arch Fielder,Fantasy,Kaymbo,24.91,4.8,4785767
183517999-1,The Case of the Curious Bride,Kienan Braunroth,Thriller,Flashset,19.91,0.4,1715384
014863228-9,"Story of Luke, The",Krissy Dearlove,Nonfiction,Zava,32.44,3.3,14775485
296448545-3,Legend of the Fist: The Return of Chen Zhen (Jing wu feng yun: Chen Zhen),Amie Driscoll,Mystery,Bubbletube,25.49,3.3,1601463
801717693-7,Head Games,Dorena Gartsyde,Mystery,Lazzy,2.98,3.3,8343535
552365556-2,Tyler Perry's Madea's Big Happy Family,Marthena Spanton,Science Fiction,Bubbletube,19.58,1.8,13616933
035085993-0,Sugar,Earvin Southwell,Thriller,Meedoo,2.91,2.5,3992169
410230237-9,Funny Farm,Diane-marie Phalp,Historical,Kimia,16,4.5,863054
216808611-7,Dangerous Game,Nap Digle,Science Fiction,Tagfeed,14.93,3.7,12399722
859995331-1,"I, Madman",Oswald Borles,Mystery,Twimm,35.59,0.5,19158758
592631570-0,Guy,Vyky Cordero,Science Fiction,Dablist,11.5,4.5,17548479
461520550-3,"River, The",Alexis Heinle,Mystery,Lazzy,34.98,2.5,383817
126310587-4,Kitty,Kele Weber,Nonfiction,Oyondu,30.29,3,17925003
479652034-1,"Miracle of Morgan's Creek, The",Davina Billo,Thriller,Izio,10.52,4.2,642489
791021039-6,"House of Small Cubes, The (Tsumiki no ie)",Alleen Bigg,Fantasy,Skinte,37.65,1.1,7498811
727282362-3,Saving Silverman (Evil Woman),Franz Linsay,Nonfiction,Ntag,25.06,2.5,8448727
323927850-2,Goodbye Pork Pie,Artus Beames,Fantasy,Photojam,4.48,4.8,14093096
723907315-7,How Stella Got Her Groove Back,Lonni Dunphie,Nonfiction,Mita,25.25,1.8,5724706
555793621-1,Iceman,Marrissa Turford,Historical,Photojam,46.41,2.4,8003088
659324823-1,Spin (You Are Here),Daffi Camelli,Mystery,Rhybox,1.99,2.1,18041004
576541509-1,Before the Revolution (Prima della rivoluzione),Ashla Langlois,Historical,Quinu,24.97,3.3,3755330
783647735-5,White Fang 2: Myth of the White Wolf,Alaster Blatchford,Historical,Topicblab,47.43,1.7,6414340
333444604-2,10.5: Apocalypse,Caritta Coetzee,Nonfiction,Mymm,25.64,0.8,11562721
546043779-2,The Four Feathers,Currey Wastie,Science Fiction,Skimia,39.18,1.9,3675476
610041227-6,Zulu,Binky Zambonini,Fantasy,Voonder,7.37,0.8,12881434
935631960-X,Lonelyhearts,Goldy Woodfine,Romance,Brainbox,10.54,3,15553915
656989906-6,Casanova '70,Harlie Knotton,Nonfiction,Yodoo,31.29,2,14264212
992385602-X,Lucky Luke: The Ballad of the Daltons,Jerrine Hellard,Mystery,Ooba,49.92,0.6,4996812
553605812-6,Cheerleader Massacre,Brianna Stribling,Romance,Thoughtstorm,18.35,0.1,11464069
030743891-0,Magical Mystery Tour,Elvyn Pomfrett,Fantasy,Bubblemix,9.61,4,1039514
052067790-0,Interview with a Hitman,Betsy Smuth,Nonfiction,Yabox,47.77,1.8,18518815
554549930-X,"World of Kanako, The (Kawaki.)",Barney McMahon,Science Fiction,Devpulse,46.31,0.6,7651574
546858233-3,Andrew Dice Clay: Indestructible,Breena Bromidge,Thriller,Miboo,8.12,1.1,3134223
190824240-X,Quills,Terza Fluger,Science Fiction,Devcast,30.67,5,11036503
936541963-8,"Paramore Live, the Final Riot!",Francoise Beagen,Historical,BlogXS,32.38,0.5,1127851
850859116-0,Expelled: No Intelligence Allowed,Jodee Sillis,Mystery,Agimba,28.53,0.5,4170231
570282514-4,"House on Sorority Row, The",Forbes Mulles,Fantasy,Yakitri,21.7,4.4,261156
638039089-8,Attack of the 50 Foot Woman,Alfy Kenrack,Romance,Rhynyx,43.11,2.1,14757746
359450787-4,100 Years at the Movies,Juliette Stuchberry,Mystery,Oyope,21.34,3.4,15723721
696995757-8,Sex Drive,Loren Curro,Thriller,Agivu,25.54,3.4,5483032
991067311-8,Daddy Day Care,Egbert Coplestone,Nonfiction,Linkbridge,18.98,0.5,9917516
981459222-6,Bitter Victory,Dur McNysche,Science Fiction,Skippad,2.97,4,17824697
126711496-7,"Emerald Forest, The",Gareth Wallsam,Thriller,Jatri,21.89,0.5,1808044
072396148-4,Leningrad Cowboys Meet Moses,Harbert Drillingcourt,Science Fiction,Mita,25.28,0.8,5466246
093207968-7,51,Bev Tomek,Thriller,Babblestorm,35.15,2.5,2544704
414231445-9,F/X,Erich Lapworth,Mystery,Feedfire,29.11,1.5,16565026
048555576-X,Dear Frankie,Cahra Houndsom,Thriller,Voolith,48.3,2.3,1995747
698641329-7,Babar The Movie,Massimo Costelloe,Nonfiction,Tagchat,41.22,2.7,839424
473107240-9,Persuasion,Cointon Purver,Thriller,Mydeo,4.1,1.7,11061098
605070326-4,Blue,Allianora Crossgrove,Thriller,Tagcat,41.53,2.8,8544900
173691433-2,Mobsters,Federica Giotto,Mystery,Jayo,1.6,1.6,16962554
041969689-X,SS Experiment Love Camp (Lager SSadis Kastrat Kommandantur),Tresa Childes,Fantasy,Jaxspan,1.78,2,12388347
689978226-X,Little Men,Hollyanne Chapell,Thriller,Miboo,38.37,0.1,19449629
321431722-9,Who Is Harry Nilsson (And Why Is Everybody Talkin' About Him?),Filip Purcell,Romance,Zoomlounge,25.09,1,1956414
910854412-3,Shouting Fire: Stories from the Edge of Free Speech,Athene Mechan,Nonfiction,Gabtune,29.76,4.9,184861
985442077-9,Meetin' WA,Annis Maltster,Thriller,Leenti,17.67,1.6,15723401
399591172-2,Fido,Laetitia Pailin,Science Fiction,Dabjam,10.37,3.4,2255002
355248388-8,"Hour of the Furnaces, The (Hora de los hornos, La)",Cristian Siddons,Historical,Eamia,18.88,0.2,1070080
611291379-8,"Adventures of Priscilla, Queen of the Desert, The",Fidelity Guichard,Fantasy,Twitterworks,37.63,3.8,928866
401837171-3,Pop Redemption,Tedie Langstone,Nonfiction,Fivechat,41.02,2.2,10412204
739001616-7,One Step Ahead of My Shadow,Ethelbert Ballintyne,Fantasy,Skibox,40.63,1.2,11207317
315943259-9,Edges of the Lord,Alexine Ludgrove,Historical,Babbleset,7.77,2.1,7396672
946844789-8,"Theory of Flight, The",Nowell Jeskin,Mystery,Skippad,49.11,3.3,17261423
915883743-4,"Kid in King Arthur's Court, A",Maxie Simpkiss,Science Fiction,Voonix,47.39,3.7,12621944
217734218-X,Osmosis (Osmose),Gretna Brinkley,Nonfiction,Skiptube,5.37,1.8,6278081
441872071-5,Bringing Out the Dead,Melisent Withringten,Thriller,Tanoodle,17.45,0.4,2478463
051274302-9,"Strayed (égarés, Les)",Margalo Romanski,Historical,Twimm,18.7,2.4,17030293
155534019-9,Asterix and the Vikings (Astérix et les Vikings),Corabelle Canape,Romance,Pixoboo,2.33,2.3,5710718
984222569-0,Xtro,Leighton Boulde,Science Fiction,Tekfly,1.87,2.8,16797619
739204619-5,Taxi 2,Muffin Folomkin,Thriller,Edgetag,13.76,1.9,15324221
100096851-0,Adjust Your Tracking,Harvey Isbell,Mystery,Quimm,29.64,4.3,59575
278282784-7,Yankee Zulu,Matthew Drei,Historical,Ailane,4.86,2.5,6697237
354251238-9,"Best of Everything, The",Suki O'Kerin,Science Fiction,Pixoboo,28.7,0.5,17184030
917227981-8,Trois,Erie Norvill,Thriller,Avamm,2.12,0,13115306
122844062-X,Electroma,Jacky Wann,Romance,Centimia,33.85,2.4,8254663
287183828-3,Anaconda,Celine Robichon,Nonfiction,Twinte,31.19,0.5,11887563
953469616-1,Free Range (Ballaad maailma heakskiitmisest),Gardener Franks,Thriller,Youfeed,9.96,3.3,1655591
584902220-1,"Carry On, Constable",Shaylah Goosey,Romance,Blogspan,40.87,0.6,18633103
079424307-X,Mixed Nuts,Sella Floyd,Science Fiction,Avavee,27.56,1.2,5763241
731080377-9,Barcelona,Godfree Carryer,Historical,Tanoodle,29.55,3.2,15074869
562742985-2,"Flesh Merchant, The (Wild and Wicked, The)",Vince Treadgall,Mystery,Cogibox,4.1,3.5,11331836
266459552-0,Burton and Taylor,Devora Potkins,Nonfiction,Avamm,45.19,2.6,19098564
113970247-5,Ouch (Aïe),Joyous Hughland,Nonfiction,Latz,30.53,3,17970678
196231340-9,Los Angeles Plays Itself,Skipper Tomowicz,Romance,Browsecat,47.61,2.2,10714543
366847792-2,"Last Run, The",Karita Shreve,Science Fiction,Kwilith,45.48,3.1,156204
224494897-8,Murder on a Honeymoon,Franzen MacGeffen,Romance,Meezzy,31.16,0.8,2507095
310839439-8,House of Strangers,Franciska Engel,Mystery,Jamia,32.65,0.1,19392399
507804385-3,Leviathan,Addison Hentze,Nonfiction,Mydeo,42.3,4.8,18062084
658169340-5,Pronto,Elysee Powley,Historical,Eayo,22.05,3.8,19512346
659932402-9,Capone,Kalina Franzini,Thriller,Yambee,14.34,2.4,17642088
946716557-0,True Grit,Nealy Giaomozzo,Mystery,Quimba,35.57,3.7,6937784
910628663-1,King Ralph,Viviene Need,Science Fiction,Realblab,12.69,1.1,6576519
127710313-5,Joe Gould's Secret,Kalina Saull,Thriller,Eamia,3.02,1.9,12228191
516969975-1,Zuzu Angel,Bat Balharry,Fantasy,Browsedrive,8.68,3.2,7342735
704368498-6,"Million Dollar Hotel, The",Danica O'Dyvoie,Thriller,Tagtune,42.7,3.3,135769
542806315-7,"Mark, The",Thedrick Dunbavin,Fantasy,Zoovu,21.5,2.6,17999595
552964084-2,"Gaucho, The",Elita Grouen,Romance,Edgepulse,32.53,4.5,15600852
896435188-6,Barbarella,Willey Rawll,Science Fiction,Livetube,38.11,0.5,14636310
791130434-3,Tere Bin Laden,Rheta Heinecke,Historical,Pixoboo,46.14,0.8,8917484
677280051-6,Missing in Action,Coleman Corstorphine,Fantasy,Vinder,33.58,4.6,9609466
990642418-4,"Last Time, The",Christiano Cantwell,Mystery,Rooxo,28.39,1.4,4601679
900680580-7,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension),Brynn Cloutt,Mystery,Geba,44.62,3.4,11491101
865290068-X,Pandora's Promise,Julina Ayres,Mystery,Tagfeed,33.87,2.3,4546694
711529549-2,"Welcome Home, Roxy Carmichael",Dyanna Diche,Fantasy,Tagchat,11.05,3.8,17050688
932711688-7,42nd Street,Irving Addekin,Mystery,Realmix,12.29,3.1,16940487
030559881-3,King of Beggars (Mo jong yuen So Hat-Yi),Ally Wakerley,Nonfiction,Eabox,49.21,0.8,13416004
298504453-7,Gainsbourg (Vie Héroïque),Melva Eringey,Science Fiction,Oodoo,46.77,2.7,9342011
676391001-0,Into the Storm,Wadsworth Emmert,Mystery,Livetube,8.65,3.1,14014611
176159847-3,Bikini Summer,Papagena Janku,Historical,Meevee,48.07,2.6,9138206
329470646-4,The Amazing Catfish,Carey Slinger,Romance,Topiclounge,7.35,1.4,11771049
248040774-8,JFK,Dar Southworth,Mystery,Livetube,29.95,0.4,15216937
605621263-7,Hollywood Shuffle,Joann Campione,Science Fiction,Twitternation,4.84,4.2,14517198
400477574-4,Barbie: A Fashion Fairytale,Yance Ortega,Science Fiction,Jayo,49.1,4.4,13323186
979657859-X,Herbie Goes Bananas,Avrom Scorer,Mystery,Skinte,14.42,2.9,5016644
401614217-2,"Live and Become (Va, vis et deviens)",Eugenius Yukhnini,Science Fiction,Edgepulse,16.4,0.8,8955318
717707414-7,Saps at Sea,Gabriella Fitchew,Science Fiction,Twimbo,36.29,4.2,17993870
127287710-8,42 Up,Zonnya Korn,Mystery,Eabox,46.27,1.8,3229942
314491448-7,"Film with Me in It, A",Wilie Trail,Fantasy,Avaveo,46.81,0.1,10903711
375937331-3,Soulless,Wood Jeandeau,Nonfiction,Divavu,10.91,3.1,1585644
488598136-0,Visions of Europe,Melody Swinerd,Science Fiction,Chatterbridge,30.51,0.9,4659644
660658786-7,Tom at the Farm (Tom à la ferme),Pet Ogden,Thriller,Zoombox,34.51,3.1,4148880
515259909-0,"West Point Story, The",Reba Pencot,Thriller,Photobean,6.29,1.8,15869809
887238544-X,Band of Brothers,Araldo Gauvin,Thriller,Yata,41.76,5,14427255
215563436-6,What's Love Got to Do with It?,Reuven Kettlesting,Thriller,Yadel,15.34,4.7,10250061
826047550-2,"Rickshaw Man, The (Muhomatsu no issho)",Ulises Henryson,Science Fiction,Twinte,12,2,2636562
485141783-7,Atragon (Kaitei Gunkan),Thia Priver,Fantasy,Devify,6.22,4.4,4599095
135504454-5,24 Hours on Craigslist,Trace Danilchik,Romance,Jetpulse,23.19,2.4,5546069
759976055-5,Bridge to Terabithia,Denys Greeding,Nonfiction,Camimbo,15.17,0.7,318089
008576156-7,"Cage aux Folles, La",Jeanette Maplesden,Romance,Mydeo,3,4,12760837
204276153-2,Fierce Light: When Spirit Meets Action,Raf Perrygo,Nonfiction,Topicshots,6.9,2.5,16305487
863673427-4,"Tomorrow, When the War Began",Yurik Dochon,Mystery,Agivu,32.92,2.5,7323587
988221412-6,"Children, The",Willey Rouge,Fantasy,Brightdog,12.39,4,11538970
200329134-2,"Prize Winner of Defiance Ohio, The",Brenda Gilby,Thriller,Flashpoint,42.17,1,16472766
140239319-9,Draft Day,Arielle Renish,Nonfiction,Myworks,5.2,1.3,2313981
344786148-7,Winnetou: The Last Shot,Nettle Barton,Thriller,Abata,39.87,3.2,13627560
023560977-3,Gone,Leeland Houndson,Romance,Skyvu,1.46,2.6,1554323
772774728-9,Magnificent Warriors (Zhong hua zhan shi),Bowie Shegog,Historical,Edgewire,3.45,4.7,621097
078903255-4,Peggy Sue Got Married,Carlye Matyas,Science Fiction,Skyble,19.35,0.1,5731922
882443440-1,Flamenco (de Carlos Saura),Tisha Wadmore,Thriller,Blogtag,37.11,0.3,12012789
438547991-7,"Fountain, The",Laney Elkin,Mystery,Brainsphere,49.35,3.4,4646462
074725495-8,Sea Wife,Brig Markushkin,Romance,Topicshots,34.99,1.5,17047259
523635878-7,Percy Jackson: Sea of Monsters,Garwood May,Nonfiction,Yadel,3.6,3.5,10035019
075191275-1,"Red Shoes, The (Bunhongsin)",Gayle Amer,Historical,Dynava,34.96,0.2,14777701
785867619-9,Space Is The Place,Carey Sommerly,Romance,Yakidoo,4.21,1.8,17607972
560339916-3,Black & White & Sex,Kerby Ludovico,Science Fiction,Zooveo,43.3,2.8,5645806
109974797-X,Corn Island (Simindis kundzuli),Maurice More,Romance,Zoozzy,47.14,1.6,7031145
